OrderID,ItemID,Quantity,Subtotal
1,22,3,180
1,24,1,150
2,1,3,540
2,18,3,300
2,7,3,840
2,23,2,180
3,11,1,180
3,9,2,760
3,5,1,150
4,24,3,450
4,15,1,450
5,23,1,90
5,3,3,360
6,27,3,360
6,12,2,440
6,6,3,960
6,7,3,840
7,13,3,720
7,9,3,1140
7,30,3,210
8,3,3,360
8,7,3,840
8,30,2,140
9,18,2,200
9,9,3,1140
9,24,2,300
9,19,2,280
10,5,1,150
10,21,3,180
11,18,3,300
11,28,3,120
11,1,1,180
12,1,3,540
12,24,2,300
12,29,3,120
13,12,1,220
13,25,3,510
14,29,2,80
14,27,1,120
14,26,1,80
15,25,3,510
15,5,1,150
15,22,2,120
15,16,3,360
16,13,2,480
16,22,2,120
16,21,3,180
17,8,3,900
17,19,3,420
17,1,1,180
17,3,1,120
18,7,3,840
18,18,3,300
18,5,3,450
19,12,3,660
19,14,1,350
19,15,3,1350
20,7,2,560
20,18,1,100
21,4,1,220
21,2,1,250
21,21,1,60
21,18,1,100
22,13,2,480
22,9,2,760
23,19,3,420
23,24,1,150
24,6,1,320
24,2,1,250
24,17,3,540
24,3,1,120
25,20,2,440
25,3,3,360
26,13,3,720
26,5,2,300
26,22,2,120
27,7,2,560
27,17,1,180
27,9,1,380
27,5,2,300
28,17,3,540
28,1,2,360
28,22,3,180
28,27,1,120
29,20,2,440
29,7,1,280
29,23,3,270
30,14,1,350
30,27,2,240
30,9,1,380
30,2,3,750
31,4,3,660
31,3,1,120
32,10,1,60
32,12,2,440
33,20,1,220
33,24,1,150
33,5,1,150
34,26,1,80
34,23,2,180
35,8,3,900
35,1,1,180
36,27,1,120
36,18,2,200
36,11,1,180
36,1,3,540
37,17,3,540
37,4,1,220
37,13,2,480
37,29,1,40
38,3,2,240
38,22,3,180
38,30,2,140
39,23,1,90
39,10,1,60
39,18,2,200
40,27,2,240
40,1,3,540
40,10,3,180
40,7,3,840
