CustomerID,EmployeeID,TableID,OrderDate,TotalAmount,Status
4,3,5,2026-02-08 14:47:00,330,Completed
14,3,1,2026-01-07 15:32:00,1860,Completed
15,9,5,2026-01-25 14:44:00,1090,Completed
13,3,6,2026-03-20 16:51:00,900,Completed
3,9,5,2026-06-20 17:36:00,450,Completed
10,3,4,2026-01-13 16:29:00,2600,Completed
3,9,3,2026-05-24 15:10:00,2070,Completed
11,3,4,2026-01-26 17:25:00,1340,Completed
16,4,8,2026-02-09 14:15:00,1920,Completed
5,9,8,2026-01-25 12:55:00,330,Completed
20,3,7,2026-04-20 19:33:00,600,Completed
18,4,6,2026-01-10 18:10:00,960,Completed
17,3,5,2026-06-17 21:12:00,730,Completed
1,9,6,2026-04-01 13:59:00,280,Completed
19,3,2,2026-06-16 13:48:00,1140,Completed
14,3,9,2026-06-23 15:45:00,780,Completed
4,3,4,2026-01-11 12:37:00,1620,Completed
2,4,2,2026-05-08 16:42:00,1590,Completed
8,4,7,2026-02-04 13:42:00,2360,Completed
4,3,7,2026-06-11 13:15:00,660,Completed
6,4,8,2026-02-28 13:28:00,630,Completed
16,4,4,2026-04-02 14:24:00,1240,Completed
18,9,8,2026-02-07 16:13:00,570,Completed
11,3,1,2026-05-16 20:58:00,1230,Completed
8,4,2,2026-05-08 21:38:00,800,Completed
19,9,6,2026-03-07 17:15:00,1140,Completed
3,3,8,2026-05-19 13:04:00,1420,Completed
6,4,9,2026-06-10 21:51:00,1200,Completed
9,3,2,2026-06-18 14:17:00,990,Completed
9,9,8,2026-03-28 12:05:00,1720,Completed
6,9,8,2026-05-23 18:35:00,780,Completed
2,4,10,2026-05-05 18:08:00,500,Completed
8,9,2,2026-03-25 20:56:00,520,Completed
1,3,6,2026-04-26 15:17:00,260,Completed
16,3,4,2026-04-12 16:52:00,1080,Completed
11,4,2,2026-03-12 20:25:00,1040,Completed
2,3,10,2026-04-12 17:27:00,1280,Completed
14,3,9,2026-05-22 15:23:00,560,Completed
4,9,5,2026-05-10 18:20:00,350,Completed
13,9,3,2026-05-19 16:25:00,1800,Completed
