OrderID,PaymentMethod,PaymentStatus,PaymentDate
1,UPI,Paid,2026-02-08 14:47:00
2,Cash,Paid,2026-01-07 15:32:00
3,Cash,Paid,2026-01-25 14:44:00
4,Card,Paid,2026-03-20 16:51:00
5,Cash,Paid,2026-06-20 17:36:00
6,UPI,Paid,2026-01-13 16:29:00
7,Cash,Paid,2026-05-24 15:10:00
8,Cash,Paid,2026-01-26 17:25:00
9,Cash,Paid,2026-02-09 14:15:00
10,Card,Paid,2026-01-25 12:55:00
11,UPI,Paid,2026-04-20 19:33:00
12,Cash,Paid,2026-01-10 18:10:00
13,UPI,Paid,2026-06-17 21:12:00
14,Cash,Paid,2026-04-01 13:59:00
15,UPI,Paid,2026-06-16 13:48:00
16,Card,Paid,2026-06-23 15:45:00
17,Cash,Paid,2026-01-11 12:37:00
18,Card,Paid,2026-05-08 16:42:00
19,UPI,Paid,2026-02-04 13:42:00
20,Card,Paid,2026-06-11 13:15:00
21,Card,Paid,2026-02-28 13:28:00
22,Card,Paid,2026-04-02 14:24:00
23,UPI,Paid,2026-02-07 16:13:00
24,UPI,Paid,2026-05-16 20:58:00
25,UPI,Paid,2026-05-08 21:38:00
26,Card,Paid,2026-03-07 17:15:00
27,Card,Paid,2026-05-19 13:04:00
28,Cash,Paid,2026-06-10 21:51:00
29,UPI,Paid,2026-06-18 14:17:00
30,Card,Paid,2026-03-28 12:05:00
31,UPI,Paid,2026-05-23 18:35:00
32,Cash,Paid,2026-05-05 18:08:00
33,Card,Paid,2026-03-25 20:56:00
34,Cash,Paid,2026-04-26 15:17:00
35,Card,Paid,2026-04-12 16:52:00
36,Card,Paid,2026-03-12 20:25:00
37,UPI,Paid,2026-04-12 17:27:00
38,UPI,Paid,2026-05-22 15:23:00
39,UPI,Paid,2026-05-10 18:20:00
40,Card,Paid,2026-05-19 16:25:00
